"Missing","MissingUrl","Count","Candidate","CandidatePath","Score","Common"
"sop-qms-002-quality-policy-objectives.html","../../../04-SOPs/sop-qms-002-quality-policy-objectives.html","2","pol-qms-002-quality-objectives.html","C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\02-Policies-Objectives\pol-qms-002-quality-objectives.html","0.667","quality objectives"
"frm-qa-014-spc-capability-log.html","../../../07-Forms-Records/11-FRM-QA/frm-qa-014-spc-capability-log.html","2","sop-604-spc-and-capability-control.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\06-SOP-600\sop-604-spc-and-capability-control.html","0.667","spc capability"
"sop-qms-015-contingency-operation-plan.html","../../04-SOPs/sop-qms-015-contingency-operation-plan.html","2","sop-108-operational-contingency-plan.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-108-operational-contingency-plan.html","0.667","contingency plan"
"frm-eng-001-costing-sheet.html","../../../07-Forms-Records/02-FRM-ENG/frm-eng-001-costing-sheet.html","2","frm-301-costing-sheet.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\03-FRM-300\frm-301-costing-sheet.html","0.667","costing sheet"
"frm-qa-006-qc-hold-log.html","../../07-Forms-Records/11-FRM-QA/frm-qa-006-qc-hold-log.html","2","frm-413-hold-and-disposition-log.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\04-FRM-400\frm-413-hold-and-disposition-log.html","0.667","hold log"
"wi-cnc-005-mill-turn-multitask-guide.html","../06-Work-Instructions/01-WI-CNC/wi-cnc-005-mill-turn-multitask-guide.html","2","wi-515-mill-turn-guide.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\05-WI-500\wi-515-mill-turn-guide.html","0.6","mill turn guide"
"frm-hr-trn-011-skill-matrix-bonus-map.html","../../../07-Forms-Records/04-FRM-HR/frm-hr-trn-011-skill-matrix-bonus-map.html","2","skill-matrix-bonus.html","C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\01-Framework\skill-matrix-bonus.html","0.6","skill matrix bonus"
"proc-eng-001-engineering-dfm-and-quoting.html","../../05-Processes/02-PROC-ENG/proc-eng-001-engineering-dfm-and-quoting.html","2","sop-301-engineering-dfm-quoting-and-machining-planning.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\03-SOP-300\sop-301-engineering-dfm-quoting-and-machining-planning.html","0.6","engineering dfm quoting"
"sop-qms-012-customer-complaint-escape-containment.html","../04-SOPs/sop-qms-012-customer-complaint-escape-containment.html","2","sop-202-customer-complaint-feedback-rma-and-escape.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-202-customer-complaint-feedback-rma-and-escape.html","0.6","customer complaint escape"
"sop-qms-012-customer-complaint-escape-containment.html","../../04-SOPs/sop-qms-012-customer-complaint-escape-containment.html","2","sop-202-customer-complaint-feedback-rma-and-escape.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-202-customer-complaint-feedback-rma-and-escape.html","0.6","customer complaint escape"
"frm-qms-016-quarterly-access-review-evidence-pack.html","../../../07-Forms-Records/12-FRM-QMS/frm-qms-016-quarterly-access-review-evidence-pack.html","2","frm-111-quarterly-access-review.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\01-FRM-100\frm-111-quarterly-access-review.html","0.6","quarterly access review"
"proc-hse-001-incident-near-miss-management.html","../05-Processes/05-PROC-HSE/proc-hse-001-incident-near-miss-management.html","2","sop-802-incident-near-miss-and-ehs.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\08-SOP-800\sop-802-incident-near-miss-and-ehs.html","0.6","incident near miss"
"sop-qms-002-quality-policy-objectives.html","../../../04-SOPs/sop-qms-002-quality-policy-objectives.html","2","sop-102-quality-policy-objectives-and-organizational-context.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-102-quality-policy-objectives-and-organizational-context.html","0.6","quality policy objectives"
