"File","MarkerCount"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\14-C14\C14-L1.html","22"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\05-C05\C05-L1.html","22"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\03-MRR-Pack\mrr-06-daily-management.html","22"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\03-MRR-Pack\mrr-g2-engineering-release.html","21"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\03-MRR-Pack\mrr-05-supplier-subcon.html","21"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\04-C04\C04-L1.html","20"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\01-Framework\skill-matrix-bonus.html","20"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\03-MRR-Pack\mrr-g3-production-fai-release.html","19"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\03-MRR-Pack\mrr-g5-closeout-billing.html","19"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\04-Templates-Tools\certificate-template.html","19"
"C:\Users\TEST4\qms.hesem.com.vn\assets\style.css","18"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\02-Training-Content\02-OJT-Guides\ojt-tracker.html","18"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\03-MRR-Pack\mrr-g1-contract-kickoff.html","18"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\03-MRR-Pack\mrr-03-inspection-measurement.html","18"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\03-Matrices\training-matrix-finance-hr.html","18"
"C:\Users\TEST4\qms.hesem.com.vn\assets\style-v9.css","18"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\05-C05\C05-L3.html","17"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\03-MRR-Pack\mrr-04-ncr-capa.html","17"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\03-MRR-Pack\mrr-g4-final-ship-packet.html","17"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\02-Training-Content\03-Practice-Drills\drill-cost-waste-tool-scrap.html","17"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\10-C10\C10-L1.html","17"
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\06-SOP-600\sop-606-ncr-capa-and-ipqc-reaction.html","16"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\09-C09\C09-L1.html","16"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\09-C09\C09-L2.html","16"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\03-Matrices\training-matrix-maintenance.html","16"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-14.html","16"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\02-Training-Content\03-Practice-Drills\drill-joborder-e2e.html","16"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\03-Matrices\training-matrix-engineering.html","15"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\15-C15\C15-L4.html","15"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\08-C08\C08-L2.html","15"
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\05-SOP-500\sop-502-cnc-machining-operations.html","15"
